00:06:66:61:A3:48,0.041754,0.135369,0.286061,1.000000,0.491356,0.134379,0.059730,0.038004,0.014248,0.015219,0.007034,0.003109,0.018277,0.011189,0.006824,0.017838,0.007884,0.015605
00:06:66:61:A6:CD,0.016578,0.002111,0.008108,0.000308,0.005601,0.000166,0.002913,0.006877,0.011579,0.048793,1.000000,0.895072,0.125839,0.024995,0.005953,0.008074,0.000499,0.000093
00:06:66:47:0A:0A,0.020823,0.005300,0.012546,0.082321,0.243866,1.000000,0.679090,0.211687,0.057138,0.017266,0.018019,0.026287,0.014004,0.002665,0.000796,0.000714,0.000017,0.004149
00:06:66:61:9E:F7,1.000000,0.500585,0.040978,0.007314,0.001001,0.000013,0.000007,0.000003,0.000000,0.000000,0.000193,0.005863,0.002890,0.003517,0.018960,0.018287,0.045077,0.243435
00:06:66:61:A9:3D,0.160564,0.034395,0.007344,0.000115,0.002591,0.000020,0.001488,0.012291,0.010628,0.028776,0.043345,0.078740,0.139053,0.219264,0.483074,0.840665,1.000000,0.405994

00:06:66:61:A4:6B,0.142417,0.171913,0.253375,0.749283,1.000000,0.256616,0.346957,0.514199,0.393064,0.462556,0.598742,0.037087,0.031952,0.293270,0.337535,0.080928,0.052237,0.048654
00:06:66:61:A4:6B,0.213994,0.075321,0.196769,0.332206,0.875366,0.749454,0.938502,0.562291,0.461675,0.598483,1.000000,0.590669,0.294860,0.713932,0.159475,0.067930,0.103534,0.046706
00:06:66:61:A4:6B,0.101322,0.140773,0.414108,0.512990,0.195694,0.099762,0.045961,0.011130,0.006220,0.055421,0.151503,0.609122,0.645273,1.000000,0.174573,0.147903,0.051681,0.037301

00:06:66:61:9C:89,0.482270,0.433340,0.386180,0.545320,1.000000,0.348990,0.196830,0.172410,0.194970,0.168030,0.045560,0.002280,0.001460,0.005520,0.002860,0.002120,0.000690,0.001340
00:06:66:61:9C:89,0.418202,0.377913,0.622547,0.677559,1.000000,0.674198,0.398418,0.272100,0.111094,0.083928,0.165526,0.051931,0.013603,0.012863,0.000780,0.000920,0.002140,0.000140
00:06:66:61:9C:89,0.615248,0.916780,1.000000,0.610776,0.384894,0.028850,0.022768,0.018500,0.004411,0.012428,0.048644,0.032783,0.260070,0.268831,0.236792,0.148591,0.190705,0.527954
